Title,Alternative Title,Period,Area,Home Institution,Editor,Language,Category,URL,Access,Description,Last Modified,Contact
1973 Guardian Tour of China,,modern,China,"University of California, San Diego","University of California, San Diego",English,"archive,curated collection,database,visual tools",https://library.ucsd.edu/dc/collection/bb10346055,open access,"The Project aims to provide a reading guide about the recent developments, experts’ explanations, as well as an understanding of what ethnic Uyghurs and Kazakhs experience on a daily basis. It further aims to integrate research methods from social science, humanities, and other disciplines for the documentation and analysis of the on-the-ground situation.",12/14/2023 2:19pm,
Aftermath of the East Asian War of 1592-1598,,premodern,"Japan,Korea,China",Rebekah Clements; Autonomous University of Barcelona,Rebekah Clements; Autonomous University of Barcelona,English,"archive,bibliography,database",https://aftermath.uab.cat/,open access,"This project is a large scale attempt to understand the legacy of the East Asian War of 1592-1598, also known as the Imjin War and Toyotomi Hideyoshi’s Invasions of Korea. It features a database bibliography of modern books, articles, and dissertations relating to the Imjin War, aiming to make bibliographical information on these secondary sources available in a central location.",12/14/2023 2:19pm,
Anhui Provincial Archives Website,,modern,China,Ivy Plus Libraries Confederation,,Chinese,searchable catalog,https://wayback.archive-it.org/14767/20210501000000*/http://www.ahda.gov.cn/,open access,"You are viewing an archived web page collected at the request of Ivy Plus Libraries Confederation using Archive-It. This page was captured on 19:02:06 Apr 05, 2021, and is part of the Greater China Archival Resources collection. The information on this web page may be out of date. See All versions of this archived page at https://wayback.archive-it.org/14767/*/http://www.ahda.gov.cn/",12/14/2023 2:19pm,
Archives of the Tibet Autonomous Region [Website],西藏自治区档案馆,"modern,premodern","China,Tibet",Ivy Plus Libraries Confederation,Tibet Autonomous Region Archives Bureau,Chinese,"curated collection,archived webpage",https://wayback.archive-it.org/14767/*/http://da.xzdw.gov.cn/,open access,"You are viewing an archived web page collected at the request of Ivy Plus Libraries Confederation using Archive-It. This page was capturedas part of the Greater China Archival Resources collection. The information on this web page may be out of date. See All versions of this archived page at https://wayback.archive-it.org/14767/*/https://da.xzdw.gov.cn/
",12/14/2023 2:20pm,
Asia and the Eastern Pacific Rim in Early Prints and Photographs,,"premodern,modern","China,Japan",New York Public Library,New York Public Library,English,"archive,curated collection,visual tools",https://digitalcollections.nypl.org/collections/asia-and-the-eastern-pacific-rim-in-early-prints-and-photographs#/,open access,"The Asia and the Eastern Pacific Rim in Early Prints and Photographs compiles digital reproductions of early albums, photographs, and prints in the collection of the New York Public Library.",12/14/2023 2:19pm,
"Asian American Little Magazines, 1968-1974",,modern,"Asia,East Asia",Amardeep Singh,Amardeep Singh,English,"curated collection,research project,bibliography",https://scalar.lehigh.edu/asian-american-little-magazines/index,open access,"This site introduces readers to Asian American little magazines published between 1968 and 1974, marking the emergence of the Asian American movement both as an idea and as a network.
The writers in these magazines, some of whom would go on to become established figures, published breakthrough early work in new magazines during this period. This is not a digital archive of Asian American little magazines. This site is a kind of annotated -- and networked -- bibliography of the magazines from the period. The aim is to map the vibrant conversations occurring among writers and activists in the Asian American movement in the magazines where those conversations were first recorded and disseminated on a small scale.  ",12/14/2023 2:19pm,
Bannedthought,,modern,"China,Japan,Korea,Asia",bannedthought.net,Unclear,English,archive,http://www.bannedthought.net/,open access,"Extensive set of collections of PDFs of periodicals, pamphlets and other work published in or about socialism in East Asia (and beyond).",12/14/2023 2:19pm,
Baodingshan,,"premodern,modern",China,Karil J. Kucera,Karil J. Kucera,English,"visual tools,maps/mapping,research project,pedagogy",https://www.baodingshan.org/,open access,"Baodingshan is a research site by art historian Karil Kucera compiling information, texts, images, maps, interactive tours, and lessons on the Baodingshan Buddhist site in Chongqing.",12/14/2023 2:19pm,
Battle of Hong Kong 1941,,modern,Hong Kong,Hong Kong Baptist University,Hong Kong Baptist University,English,"archive,visual tools,curated collection,maps/mapping",https://digital.lib.hkbu.edu.hk/1941hkbattle/en/index.html,open access,"The spatial history project “Hong Kong 1941” uses geographic information systems (GIS) to build a web map about the Battle of Hong Kong and a database of British military installations in Hong Kong during the Second World War. It offers an easy-to-use historical database for educators, tourists, and conservation professionals.",12/14/2023 2:19pm,
Bell Historical Postcard Collection,,modern,"Japan,China,Taiwan",University of Hawai'i,University of Hawai'i,English,"visual tools,archive,database,curated collection",https://digital.library.manoa.hawaii.edu/bell,open access,"Bell Historical Postcard Collection consists of 344 postcards, bromides, and prints that were created before WWII. Most of the postcards were created in Japan along with some made in Hawai'i, China, and Taiwan (Formosa).",12/14/2023 2:19pm,
